Job Title,Company Name,Company Location,Job Description,Expected Salary,Years of Experience,Working Place,Additional Terms
مطور اعمال للعمل بالسعودية,شركة البدوي للتوظيف/ Albadwy Recruitment,هليوبوليس · القاهرة · مصر,طوير وتنفيذ استراتيجيات تطوير الأعمال لزيادة حصة السوق وتحقيق النمو في قطاعات أنظمة الحماية وكاميرات المراقبة واكسسوارات الجوال والمطاعم.…,N/A,N/A,من المكتب,N/A
Developer,VINIRMA Consulting Pvt.Ltd,المنامة · البحرين,"VAM Systems is a Business Consulting, IT Solutions and Services company. VAM Systems is currently looking for Developer for our …",N/A,15-4 سنوات من الخبرة,من المكتب,N/A
IT Developer,Career Maker Bahrain,المنامة · البحرين,"Key Responsibilities: Develop and enhance software applications according to client specifications. Write clean, scalable code using…",N/A,5-3 سنوات من الخبرة,من المكتب,N/A
IT Developer,The Tower Ideas,لندن · المملكة المتحدة,"Exciting Career Opportunity at The Tower Ideas – IT Developers ((UK, Ireland, Sweden, Germany, France, Netherlands, Poland, Romania,…",N/A,N/A,عن بُعد,N/A
Software Developer,DESERT MOTOR TRADING,الدوحة · قطر,SHOULD BE A GOOD EXPERIENCE IN BELOW MENTIONED JOBS 1) WELL KNOWLEDGE ABOUT APP DEVELOPMENT 2) DESIGN AND MANAGE WEBSITE 3) IT RELATED…,"$1,500 - $2,000",6-4 سنوات من الخبرة,من المكتب,N/A
AI Agent Developer,Strata Horizon,أبو ظبي · الإمارات,"Roles & Responsibilities We are shaping the future with our next-generation AI-powered ERP system, revolutionizing business operations…",N/A,N/A,من المكتب,N/A
Software Developer,ADEC Innovations AT GmbH,Vienna · النمسا,"The Software Developer position in Vienna, Austria (remote), offers an exciting opportunity for individuals passionate about technology…",N/A,N/A,عن بُعد,N/A
Programmer,Towell Holding,الكويت,"· Software Development & Management : Research, design, implement, and manage software programs to meet business needs. · Testing…",N/A,N/A,من المكتب,N/A
Software Engineer Back-End,Bayt.com,لاهور · باكستان,Responsibilities Understand the Bayt.com application flow for job seekers and the various navigational paths. Execute full software…,N/A,مبتدئ الخبرة · 1-3 سنوات من الخبرة,من المكتب,N/A
Software Engineer Back-End,Bayt.com,عمان · الأردن,Responsibilities Understand the Bayt.com application flow for job seekers and the various navigational paths. Execute full software…,N/A,مبتدئ الخبرة · 1-3 سنوات من الخبرة,من المكتب,N/A
Software Engineer Back-End,Bayt.com,بيروت · لبنان,Responsibilities Understand the Bayt.com application flow for job seekers and the various navigational paths. Execute full software…,N/A,مبتدئ الخبرة · 1-3 سنوات من الخبرة,من المكتب,N/A
Software Engineer Back-End,Bayt.com,القاهرة · مصر,Responsibilities Understand the Bayt.com application flow for job seekers and the various navigational paths. Execute full software…,N/A,مبتدئ الخبرة · 1-3 سنوات من الخبرة,من المكتب,N/A
Developer/Coveo Developer,TASC Outsourcing,ألاباما · الولايات المتحدة,Test Test Test Test Test Test Test Test Test Test Test Test Test Test Test …,N/A,متوسط الخبرة,من المكتب,N/A
Angular Developer,TASC Outsourcing,الهند,We are looking for a skilled Angular Developer to join our team and contribute to building and maintaining high-quality web applications.…,N/A,طالب/متدرّب,من المكتب,N/A
Software Developer,Wuwi Inc,Guangzhou · الصين,Job Title: Software Developer (Visa & Job Placement for China) Company: Wuwi Inc. Location: China (Candidates from Pakistan only)…,"$1,000 - $1,500",متوسط الخبرة · 2-6 سنوات من الخبرة,من المكتب,N/A
Software Engineer - Backend,Bayt.com,الأردن,"We are looking for a talented and driven Backend Software Engineer to join our innovative team. If you are passionate about building robust backend systems, have a strong foundation in PHP and",N/A,متوسط الخبرة · 3-7 سنوات من الخبرة,من المكتب,N/A
Business Intelligence Developer,Energy Tech,الدمام · السعودية,". Design and Development • Build, develop, and maintain BI reports and dashboards using Oracle BI Publisher, OTBI, and other tools.…",N/A,مبتدئ الخبرة,من المكتب,N/A
Laserfiche Implementer with Development Skills,ACCWLL,الكويت,We are seeking a highly skilled and motivated Laserfiche Implementer with strong development expertise to join our team. The ideal…,N/A,N/A,من المكتب,N/A
Senior Software Engineer,ChalkTalk,عمان · الأردن,"About ChalkTalk At ChalkTalk, we believe that education is human. It's more than scores and statistics. Be part of a team that's transforming…","$2,000 - $3,000",8-4 سنوات من الخبرة,من المكتب,N/A
Outsystem Developer,GIZA Systems,الرياض · السعودية,"Develop and maintain applications using the Outsystems platform, ensuring high-quality code and performance. Integrate software…",N/A,متوسط الخبرة · 3-5 سنوات من الخبرة,من المكتب,للمواطنين السعوديين
مطور ASP.NET Core,شركة اعماق المصادر الرقمية للاتصالات و تقنية المعلومات,الرياض · السعودية,مطلوب مطور ASP.NET Core سعودي الجنسية شهادة ذات صلة في علوم الحاسب أو هندسة البرمجيات أو ما يعادلها.,N/A,متوسط الخبرة,من المكتب,للمواطنين السعوديين
مطور ASP.NET Core,شركة اعماق المصادر الرقمية للاتصالات و تقنية المعلومات,الرياض · السعودية,مطور ASP.NET.Core,N/A,متوسط الخبرة,من المكتب,للمواطنين السعوديين
Wordpress Developer,Future Communications Company,الكويت · الكويت,"• Organize and manage monthly tournaments using the WordPress and Theme dashboard. • Maintain and update the e-commerce website, plugins,…",N/A,N/A,من المكتب,N/A
Appian Developer,Apar Technology,دبي · الإمارات,#Applynow 🚨 #Hiringalert 🚀 #onsiterole #Dubaijobopenings ✅ #Appiandeveloper #Seniorappiandeveloper #Techlead #Appianlead#Technicalappianlead…,N/A,N/A,من المكتب,N/A
Software Developer - PHP - Fully Remote,CC Staffing International Ltd.,كيرالا · الهند,Our client an international software company is looking for PHP developer to support their end customers with sophisticated cloud-based…,N/A,5-2 سنوات من الخبرة,عن بُعد,N/A
WordPress Developer,eBrain,إسلام أباد · باكستان,"We are looking for a talented and experienced WordPress Developer to design, develop, and maintain custom WordPress websites and…",$0 - $500,طالب/متدرّب · 0-1 سنوات من الخبرة,هجين,N/A
Apigee Developer,Royal Cyber KSA,الرياض · السعودية,APIGEE Developer (Banking Domain Expertise) Job Summary: We are seeking a highly experienced Senior APIGEE Developer with 7+ years…,N/A,N/A,من المكتب,N/A
Kafka Developer/ Admin,Royal Cyber KSA,الرياض · السعودية,"Key Responsibilities: Developer Responsibilities: 1. Design, develop, and deploy Kafka producers and consumers 2. Implement Kafka…",N/A,N/A,من المكتب,N/A
API Lead/Developer,Royal Cyber KSA,الرياض · السعودية,Job Title: API Lead/Developer Location : Riyadh Saudi Arabia Job Summary We are seeking an experienced API Lead/Developer to join…,N/A,N/A,من المكتب,N/A
Oracle BPM Developer,Royal Cyber KSA,السعودية,"Senior Oracle BPM Developer Key Responsibilities: 1. Lead the design, development, and deployment of business processes using Oracle…",N/A,N/A,من المكتب,N/A
Sr. Integration Developer,Flint Consulting Ltd,الرياض · السعودية,Sr. Integration Developer,N/A,N/A,من المكتب,N/A
Sr. Appian Developer,Flint Consulting Ltd,الرياض · السعودية,• Should have good knowledge on Appian best practices suggested by Appian • Ability to understand/gather requirements and come up…,N/A,N/A,من المكتب,N/A
MS Dynamics CRM Developer,TREX Lebanon,بيروت · لبنان,"Web Development (ASP.NET, ASP.NET MVC, Web Services, HTML5, JavaScript, JQuery, KnockoutJS, SignalR). Develop CRM forms, workflows,…",N/A,N/A,من المكتب,N/A
Software Development Engineer,Aureka Smart Living,القاهرة · مصر,We are seeking a highly skilled and motivated Software Development Engineer to join our dynamic team. The ideal candidate will possess demonstrated experience in both web and mobile application,N/A,متوسط الخبرة,من المكتب,N/A
ServiceNow ITAM Developer,Royal Cyber KSA,كراتشي · باكستان,The ServiceNow IT Asset Management (ITAM) Developer plays a crucial role in the management and optimization of IT assets within an…,N/A,إدارة عليا تنفيذية · 3-10 سنوات من الخبرة,عن بُعد,N/A
ERP Developer,Acico,الكويت,We are looking for a skilled ERP Developer with extensive experience in Microsoft Dynamics AX and D365 Finance & Operations…,N/A,N/A,من المكتب,N/A
Sr. Integration Developer,Flint Consulting Ltd,الرياض · السعودية,Sr. Integration Developer,N/A,N/A,من المكتب,N/A
Senior Integration Developer (IBM Integration),Flint Consulting Ltd,الرياض · السعودية,Senior Integration Developer (IBM Integration),N/A,N/A,من المكتب,N/A
Full stack developer ((Angular & Bootstrap Focus),Mindteck,المنامة · البحرين,Full Stack Developer (Angular & Bootstrap Focus) Location: Bahrain Onsite Duration: 6 months contract Key Responsibilities Front-End…,N/A,5-3 سنوات من الخبرة,من المكتب,N/A
Java Developer,اسم الشركة محجوب من قبل صاحب العمل,الأحمدى · الكويت,"Job Overview: We are looking for a skilled Java Developer with expertise in front-end technologies to design, develop, and maintain…","$2,000 - $3,000",N/A,من المكتب,N/A
Java Developer (Spring &Hibernate),e-Portal Holding Company,الكويت,We are seeking a Java Developer with expertise in Spring and Hibernate frameworks to join our development team. You will be responsible…,N/A,N/A,من المكتب,N/A
Full Stack Developer,Myrefera,الشارقة · الإمارات,We are an innovative SaaS platform that connects brands with UGC creators and influencers. Our platform enables businesses to collaborate…,"$1,000 - $1,500",N/A,عن بُعد,N/A
Full Stack Developer - Angular and Python,RTC1 Recruitment Services,دبي · الإمارات,Position Title: Full Stack Developer- Angular & Python Employment Type: Full Time …,N/A,N/A,من المكتب,N/A
Full Stack Developer,Linco W.LL,محافظة العاصمة · الكويت,Collaborate with technically sound developers to complete the company's desired project. Ensuring compatibility across multiple platforms…,N/A,N/A,من المكتب,N/A
